alpha,model,symbol,n_cal,n_test,qV,pihat_raw,pihat_cp,viol_raw,viol_cp,p_kup_raw,p_kup_cp,p_cc_raw,p_cc_cp,TL_raw,TL_cp,QS_raw,QS_cp,VaR_width,raw_width
0.05,Chronos-Mini,BOVESPA,4186,1794,0.0261444093504988,0.4269788182831661,0.0222965440356744,766,40,0.0,1.7551807784954572e-09,0.1914974155343816,0.0428668068632559,Red,Yellow,0.0042513210142416,0.0018176359672553,0.0280384272788718,0.0018940179283729978
0.1,Chronos-Mini,BOVESPA,4186,1794,0.0183518605136475,0.4459308807134894,0.060200668896321,800,108,0.0,1.696208395962628e-09,0.0800078409185898,0.2249705116100951,Red,Red,0.0044587351331057,0.0027058188599019,0.0195428187936875,0.0011909582800400005
0.01,Chronos-Mini,NIFTY,2818,1208,0.0259641485664293,0.4205298013245033,0.0041390728476821,508,5,0.0,0.0203607159330023,0.3549842641422354,0.9794160729155617,Red,Green,0.0025619758012105,0.0003265857502565,0.0267947517153135,0.0008306031488842028
0.025,Chronos-Mini,NIFTY,2818,1208,0.0203269747192367,0.4312913907284768,0.0091059602649006,521,11,0.0,4.884349271416788e-05,0.4949989815830448,0.9037775743298226,Red,Green,0.002634085755922,0.0006310371304589,0.021023499328685,0.0006965246094483013
0.05,Chronos-Mini,NIFTY,2818,1208,0.015862363020956,0.4420529801324503,0.0248344370860927,534,30,0.0,9.493223359857694e-06,0.4556256452715667,0.9594501958924954,Red,Yellow,0.0027167132047469,0.0010096651532833,0.0164101481976044,0.0005477851766483993
0.1,Chronos-Mini,NIFTY,2818,1208,0.0112458742754584,0.4610927152317881,0.0753311258278145,557,91,0.0,0.0029259509347184,0.6204661594609358,0.0303684522013094,Red,Red,0.0028542316145002,0.0015969675817321,0.0115487996397034,0.0003029253642449995
0.01,Chronos-Mini,ASX200,4276,1833,0.0252127237444315,0.4157119476268412,0.0103655210038188,762,19,0.0,0.8757598217094379,0.1072507577286134,0.0492173793589358,Red,Green,0.0029428575067404,0.0004481914643621,0.0262521577261108,0.0010394339816793031
0.025,Chronos-Mini,ASX200,4276,1833,0.019337280238086,0.4217130387343153,0.0250954719039825,773,46,0.0,0.9791259831060908,0.0429203000104791,0.0218103420980719,Red,Yellow,0.0030378146007757,0.0008085167971147,0.020062304109426,0.0007250238713399984
0.05,Chronos-Mini,ASX200,4276,1833,0.0145253525429163,0.4282596835788325,0.0518276050190943,785,95,0.0,0.721108436507653,0.0666736147755693,9.782500180077758e-05,Red,Red,0.0031080081982977,0.0012551445529365,0.0150266298648309,0.0005012773219145988
0.1,Chronos-Mini,ASX200,4276,1833,0.009944325112044,0.4413529732678669,0.0992907801418439,809,182,0.0,0.9192958548190048,0.1583946309134025,0.0148852633058134,Red,Red,0.0032450546332988,0.0019032228968305,0.0101123926239637,0.00016806751191970025
0.01,Chronos-Mini,CBU0,2277,976,0.0083172451473057,0.4180327868852459,0.0297131147540983,408,29,0.0,5.53471821596041e-07,0.98741218298959,0.4110067521937951,Red,Yellow,0.0013787103244735,0.0001794024250446,0.0093088839954796,0.0009916388481739005
0.025,Chronos-Mini,CBU0,2277,976,0.0064001653443295,0.4211065573770491,0.0584016393442623,411,57,0.0,1.100470137238574e-08,0.9417606428260012,0.631947177327064,Red,Red,0.0014226424163407,0.0003550444667047,0.0073238947584797,0.0009237294141502001
0.05,Chronos-Mini,CBU0,2277,976,0.0048616092385841,0.4313524590163934,0.1004098360655737,421,98,0.0,1.5886381099505795e-10,0.9880899913802776,0.9034487532090848,Red,Red,0.0014893299460691,0.0005821730062989,0.005683902746412,0.0008222935078279004
0.1,Chronos-Mini,CBU0,2277,976,0.0033893271874222,0.4487704918032787,0.1782786885245901,438,174,0.0,1.0602629885170245e-13,0.969224846078752,0.5526794304718718,Red,Red,0.0015942823268651,0.0009298551521709,0.004035534862714,0.0006462076752918005
0.01,Chronos-Mini,TLT,3803,1631,0.0200342289646132,0.4475781729000613,0.0196198651134273,730,32,0.0,0.0005594634474979,0.9408802504753287,0.3657812997603126,Red,Yellow,0.0032847186036603,0.0003665754158594,0.021876318250032,0.0018420892854188013
